id,order,title,type,link_1,link_2,link_3,active,description,✓ Активен,Тип (рус)
1,1,Бонусный эфир 1,эфир,https://t.me/c/3728396310/9,,,,,—,🎬 Эфир
2,2,Бонусный эфир 2,эфир,https://t.me/c/3728396310/13,,,,,—,🎬 Эфир
3,3,Бонусный эфир 3,эфир,https://t.me/c/3728396310/14,,,,,—,🎬 Эфир
4,4,Алгоритм УТРЕННЯЯ СОНАСТРОЙКА,алгоритм,https://t.me/c/3728396310/16,,,yes,"- медленные чувственные потягушки и подтягивания
- обнять себя
- сонастройка с собой - руки на груди и на тазу
- контакт с полем
- интуитивный танец",○ Скрыт,алгоритм
5,5,Практика УТРЕННЯЯ СОНАСТРОЙКА,практика,https://t.me/c/3728396310/20,,,yes,Практика выполняется между любым из этапов алгоритма пробуждения - как почувствуете,○ Скрыт,💪 Практика
6,6,Практика ВИШЛИСТ,практика,https://t.me/c/3728396310/23,,,yes,"Практика для работы с вашими желаниями 🧡
Данную практику выполняйте сидя, а в определенный момент в практике, почти в самом конце - этот момент там для вас озвучен, нужно будет ненадолго встать до конца практики, поэтому подготовьте себе пространство для комфортного вставания) Газ!",○ Скрыт,💪 Практика
7,7,Бонусный эфир ,,,,,,,—,—
8,8,Задание 1,задание,https://t.me/c/3728396310/29,,,yes,"1. Представьтесь: имя, возраст, откуда вы и чем занимаетесь (если что-то хотите оставить при себе, не пишите)
2. Напишите 3 пункта того, что вам нравится и интересно: чем просто по-человечески хорошо заниматься без объяснения причин
3. Напишите 3 пункта-похвалы себя: любые! Ваши сильные стороны, особенности, черты характера, таланты
",○ Скрыт,📝 Задание
9,9,Задание 2,задание,https://t.me/c/3728396310/32,,,yes,"1. Проанализируйте, что вы слушаете и смотрите? Насколько это направляет вас на созидание, вдохновляет на новые свершения, веру в себя? 

2. Понаблюдайте, о чем вы часто говорите и думаете? Какие события и ситуации захватывают ваше внимание? Насколько это соответствует вашим желаниям?",○ Скрыт,📝 Задание
10,10,Задание 3,задание,https://t.me/c/3728396310/33,,,yes,"1. Придумайте, что вы ходите увидеть, найти в реальности: синий карандаш, оранжевую рыбу, слоника, гитару и тд

2. Поставьте себе задачу: как я могу найти это в реальности? И дайте себе на выполнение 2 дня",○ Скрыт,📝 Задание
11,11,Задание 4,задание,https://t.me/c/3728396310/34,,,yes,Создание и наполнение личного телеграм канала,○ Скрыт,📝 Задание
